event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
100176	19.41	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100177	19.41	Highway.node[1].appl	BrakingNoGui		0	7.04604e-05	5.04954	1	135.674	242.45	0	0
100178	19.41	Highway.node[2].appl	BrakingNoGui		0	4.069e-06	5.00115	2	126.673	242.45	0	0
100179	19.41	Highway.node[3].appl	BrakingNoGui		0	8.71821e-07	5.00051	3	117.673	242.45	0	0
100180	19.41	Highway.node[4].appl	BrakingNoGui		0	7.32975e-07	5.00049	4	108.672	242.45	0	0
100181	19.41	Highway.node[5].appl	BrakingNoGui		0	2.49427e-06	5.00174	5	99.6705	242.45	0	0
100182	19.41	Highway.node[6].appl	BrakingNoGui		0	0	4.99843	6	90.6721	242.45	0	0
100183	19.41	Highway.node[7].appl	BrakingNoGui		0	0	4.99724	7	81.6748	242.45	0	0
100722	19.51	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100723	19.51	Highway.node[1].appl	BrakingNoGui		0	7.04604e-05	5.04954	1	135.674	242.45	0	0
100724	19.51	Highway.node[2].appl	BrakingNoGui		0	4.069e-06	5.00115	2	126.673	242.45	0	0
100725	19.51	Highway.node[3].appl	BrakingNoGui		0	8.71821e-07	5.00051	3	117.673	242.45	0	0
100726	19.51	Highway.node[4].appl	BrakingNoGui		0	7.32975e-07	5.00049	4	108.672	242.45	0	0
100727	19.51	Highway.node[5].appl	BrakingNoGui		0	2.49427e-06	5.00174	5	99.6705	242.45	0	0
100728	19.51	Highway.node[6].appl	BrakingNoGui		0	0	4.99843	6	90.6721	242.45	0	0
100729	19.51	Highway.node[7].appl	BrakingNoGui		0	0	4.99724	7	81.6748	242.45	0	0
101268	19.61	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
101269	19.61	Highway.node[1].appl	BrakingNoGui		0	7.04604e-05	5.04954	1	135.674	242.45	0	0
101270	19.61	Highway.node[2].appl	BrakingNoGui		0	4.069e-06	5.00115	2	126.673	242.45	0	0
101271	19.61	Highway.node[3].appl	BrakingNoGui		0	8.71821e-07	5.00051	3	117.673	242.45	0	0
101272	19.61	Highway.node[4].appl	BrakingNoGui		0	7.32975e-07	5.00049	4	108.672	242.45	0	0
101273	19.61	Highway.node[5].appl	BrakingNoGui		0	2.49427e-06	5.00174	5	99.6705	242.45	0	0
101274	19.61	Highway.node[6].appl	BrakingNoGui		0	0	4.99843	6	90.6721	242.45	0	0
101275	19.61	Highway.node[7].appl	BrakingNoGui		0	0	4.99724	7	81.6748	242.45	0	0
101814	19.71	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
