event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
115	1.11	Highway.node[2].appl	BrakingNoGui		0.0	0.0	5.0	2	54.6901	242.45	0.0	13.89
661	1.21	Highway.node[2].appl	BrakingNoGui		-0.000103666	-0.00112983	5.0	2	56.0791	242.45	-1.11506e-07	13.89
1207	1.31	Highway.node[2].appl	BrakingNoGui		-0.000354814	-0.00180389	5.0	2	57.4681	242.45	-6.40516e-07	13.89
1753	1.41	Highway.node[2].appl	BrakingNoGui		-0.000583853	-0.00145462	5.0	2	58.8571	242.45	-1.2449e-06	13.8899
2299	1.51	Highway.node[2].appl	BrakingNoGui		-0.000762913	-0.00169333	5.0	2	60.2461	242.45	-1.54761e-06	13.8899
2845	1.61	Highway.node[2].appl	BrakingNoGui		-0.000868015	-0.00103396	5.0	2	61.6351	242.45	-1.46878e-06	13.8898
3391	1.71	Highway.node[2].appl	BrakingNoGui		-0.000893407	-0.00102886	5.0	2	63.024	242.45	-9.23529e-07	13.8897
3937	1.81	Highway.node[2].appl	BrakingNoGui		-0.000918533	-0.00104674	5.0	2	64.413	242.45	-5.31615e-07	13.8896
4483	1.91	Highway.node[2].appl	BrakingNoGui		-0.000867706	-0.000279317	5.0	2	65.802	242.45	-1.8367e-07	13.8895
5037	2.01	Highway.node[2].appl	BrakingNoGui		-0.000763233	-0.000323944	5.0	2	67.1909	242.45	3.10428e-07	13.8894
5583	2.11	Highway.node[2].appl	BrakingNoGui		-0.000697505	-0.000466415	5.0	2	68.5798	242.45	6.49529e-07	13.8894
6129	2.21	Highway.node[2].appl	BrakingNoGui		-0.000601768	0.000109619	5.0	2	69.9688	242.45	9.79728e-07	13.8893
6675	2.31	Highway.node[2].appl	BrakingNoGui		-0.000494072	-0.000127612	5.0	2	71.3577	242.45	1.38334e-06	13.8892
7221	2.41	Highway.node[2].appl	BrakingNoGui		-0.000464042	-0.000484718	5.0	2	72.7466	242.45	1.40047e-06	13.8892
7767	2.51	Highway.node[2].appl	BrakingNoGui		-0.000428644	-6.12716e-05	5.0	2	74.1355	242.45	1.2037e-06	13.8891
8313	2.61	Highway.node[2].appl	BrakingNoGui		-0.000400469	-0.000452929	5.0	2	75.5244	242.45	9.9129e-07	13.8891
8859	2.71	Highway.node[2].appl	BrakingNoGui		-0.000376399	-8.71868e-05	5.0	2	76.9134	242.45	6.92843e-07	13.8891
9405	2.81	Highway.node[2].appl	BrakingNoGui		-0.000290694	0.00025907	5.0	2	78.3023	242.45	4.18286e-07	13.889
9951	2.91	Highway.node[2].appl	BrakingNoGui		-0.000242782	-0.000268924	5.0	2	79.6912	242.45	1.11865e-07	13.889
10505	3.01	Highway.node[2].appl	BrakingNoGui		-0.000228141	-4.66707e-05	5.0	2	81.0801	242.45	-2.30344e-07	13.889
11051	3.11	Highway.node[2].appl	BrakingNoGui		-0.000174666	0.000171415	5.0	2	82.469	242.45	-4.2867e-07	13.889
