event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
120	1.11	Highway.node[7].appl	BrakingNoGui		0.0	0.0	5.0	7	9.6901	242.45	0.0	13.89
666	1.21	Highway.node[7].appl	BrakingNoGui		-0.000103666	-0.00112983	5.0	7	11.0791	242.45	3.11892e-06	13.89
1212	1.31	Highway.node[7].appl	BrakingNoGui		-0.000352801	-0.00180593	5.0	7	12.4681	242.45	1.16648e-05	13.89
1758	1.41	Highway.node[7].appl	BrakingNoGui		-0.00058166	-0.00145802	5.0	7	13.8571	242.45	1.68353e-05	13.8899
2304	1.51	Highway.node[7].appl	BrakingNoGui		-0.00076166	-0.00169766	5.0	7	15.2461	242.45	1.85982e-05	13.8899
2850	1.61	Highway.node[7].appl	BrakingNoGui		-0.00086665	-0.0010373	5.00001	7	16.6351	242.45	1.74474e-05	13.8898
3396	1.71	Highway.node[7].appl	BrakingNoGui		-0.000897783	-0.00105766	5.00001	7	18.024	242.45	1.4461e-05	13.8897
3942	1.81	Highway.node[7].appl	BrakingNoGui		-0.000923879	-0.00104254	5.00001	7	19.413	242.45	1.01679e-05	13.8896
4488	1.91	Highway.node[7].appl	BrakingNoGui		-0.000870622	-0.000270011	5.00001	7	20.802	242.45	5.00098e-06	13.8895
5042	2.01	Highway.node[7].appl	BrakingNoGui		-0.000765021	-0.000311784	5.00001	7	22.1909	242.45	-3.71194e-09	13.8894
5588	2.11	Highway.node[7].appl	BrakingNoGui		-0.000696367	-0.000454031	5.00001	7	23.5798	242.45	-4.33251e-06	13.8893
6134	2.21	Highway.node[7].appl	BrakingNoGui		-0.000598137	0.000120292	5.00001	7	24.9688	242.45	-7.55328e-06	13.8893
6680	2.31	Highway.node[7].appl	BrakingNoGui		-0.000494106	-0.000146052	5.00001	7	26.3577	242.45	-8.95276e-06	13.8892
7226	2.41	Highway.node[7].appl	BrakingNoGui		-0.00046374	-0.0004767	5.00001	7	27.7466	242.45	-8.71835e-06	13.8892
7772	2.51	Highway.node[7].appl	BrakingNoGui		-0.000427049	-5.36271e-05	5.00001	7	29.1355	242.45	-7.40091e-06	13.8891
8318	2.61	Highway.node[7].appl	BrakingNoGui		-0.000398108	-0.000448096	5.00001	7	30.5244	242.45	-5.39323e-06	13.8891
8864	2.71	Highway.node[7].appl	BrakingNoGui		-0.000373694	-8.47625e-05	5.00001	7	31.9134	242.45	-3.11286e-06	13.8891
9410	2.81	Highway.node[7].appl	BrakingNoGui		-0.000292131	0.000232488	5.00001	7	33.3023	242.45	-6.52418e-07	13.889
9956	2.91	Highway.node[7].appl	BrakingNoGui		-0.000245874	-0.000268212	5.00001	7	34.6912	242.45	1.73004e-06	13.889
10510	3.01	Highway.node[7].appl	BrakingNoGui		-0.00022982	-4.49229e-05	5.00001	7	36.0801	242.45	3.34291e-06	13.889
11056	3.11	Highway.node[7].appl	BrakingNoGui		-0.000176413	0.000174459	5.00001	7	37.469	242.45	4.25161e-06	13.889
11602	3.21	Highway.node[7].appl	BrakingNoGui		-0.000170676	-0.000422885	5.00001	7	38.8579	242.45	4.49395e-06	13.8889
12148	3.31	Highway.node[7].appl	BrakingNoGui		-0.000204374	-0.000288593	5.00001	7	40.2467	242.45	3.74822e-06	13.8889
12694	3.41	Highway.node[7].appl	BrakingNoGui		-0.0002008	-8.6955e-05	5.00001	7	41.6356	242.45	2.60026e-06	13.8889
13240	3.51	Highway.node[7].appl	BrakingNoGui		-0.000163007	9.50535e-05	5.00001	7	43.0245	242.45	1.35896e-06	13.8889
13786	3.61	Highway.node[7].appl	BrakingNoGui		-0.000103246	0.000233453	5.00001	7	44.4134	242.45	2.03572e-07	13.8889
14332	3.71	Highway.node[7].appl	BrakingNoGui		-3.48097e-05	0.000314932	5.00001	7	45.8023	242.45	-7.30992e-07	13.8889
14878	3.81	Highway.node[7].appl	BrakingNoGui		3.01057e-05	0.000336915	5.00001	7	47.1912	242.45	-1.36439e-06	13.8889
15424	3.91	Highway.node[7].appl	BrakingNoGui		8.19966e-05	0.000306072	5.00001	7	48.5801	242.45	-1.67178e-06	13.8889
15978	4.01	Highway.node[7].appl	BrakingNoGui		0.000114978	0.000235728	5.00001	7	49.969	242.45	-1.67694e-06	13.8889
16524	4.11	Highway.node[7].appl	BrakingNoGui		0.000127018	0.000142751	5.00001	7	51.3578	242.45	-1.44002e-06	13.8889
17070	4.21	Highway.node[7].appl	BrakingNoGui		0.000119561	4.44538e-05	5.00001	7	52.7467	242.45	-1.04257e-06	13.8889
17616	4.31	Highway.node[7].appl	BrakingNoGui		9.67161e-05	-4.40212e-05	5.00001	7	54.1356	242.45	-5.72444e-07	13.8889
18162	4.41	Highway.node[7].appl	BrakingNoGui		6.41822e-05	-0.000111554	5.00001	7	55.5245	242.45	-1.10572e-07	13.8889
18708	4.51	Highway.node[7].appl	BrakingNoGui		2.81385e-05	-0.000151984	5.00001	7	56.9134	242.45	2.78768e-07	13.8889
19254	4.61	Highway.node[7].appl	BrakingNoGui		-5.7505e-06	-0.000164155	5.00001	7	58.3023	242.45	5.53653e-07	13.8889
19800	4.71	Highway.node[7].appl	BrakingNoGui		-3.30788e-05	-0.000151222	5.00001	7	59.6912	242.45	6.96063e-07	13.8889
20346	4.81	Highway.node[7].appl	BrakingNoGui		-5.11302e-05	-0.000119448	5.00001	7	61.0801	242.45	7.09871e-07	13.8889
20892	4.91	Highway.node[7].appl	BrakingNoGui		-5.89868e-05	-7.6745e-05	5.00001	7	62.469	242.45	6.16203e-07	13.8889
21447	5.01	Highway.node[7].appl	BrakingNoGui		-5.73551e-05	-3.12395e-05	5.00001	7	63.8579	242.45	4.47291e-07	13.8889
21993	5.11	Highway.node[7].appl	BrakingNoGui		-0.766298	-8.19058	5.00001	7	65.2463	242.45	2.39947e-07	13.8657
22539	5.21	Highway.node[7].appl	BrakingNoGui		-2.18428	-9.14288	4.99991	7	66.6263	242.45	-0.00216312	13.7111
23085	5.31	Highway.node[7].appl	BrakingNoGui		-3.4701	-9.56634	4.99958	7	67.984	242.45	-0.00433069	13.421
23631	5.41	Highway.node[7].appl	BrakingNoGui		-4.57364	-9.70216	4.99907	7	69.3065	242.45	-0.00571457	13.012
24177	5.51	Highway.node[7].appl	BrakingNoGui		-5.4781	-9.57976	4.99847	7	70.5831	242.45	-0.0062193	12.5035
24723	5.61	Highway.node[7].appl	BrakingNoGui		-6.17852	-9.26115	4.99786	7	71.8046	242.45	-0.00589739	11.9158
25269	5.71	Highway.node[7].appl	BrakingNoGui		-6.68398	-8.82555	4.99731	7	72.9642	242.45	-0.00491508	11.2688
25815	5.81	Highway.node[7].appl	BrakingNoGui		-7.0165	-8.35325	4.99689	7	74.057	242.45	-0.00350756	10.5809
26361	5.91	Highway.node[7].appl	BrakingNoGui		-7.20798	-7.917	4.99662	7	75.0796	242.45	-0.0019321	9.86783
26915	6.01	Highway.node[7].appl	BrakingNoGui		-7.29603	-7.57263	4.9965	7	76.0301	242.45	-0.000427584	9.14159
27461	6.11	Highway.node[7].appl	BrakingNoGui		-7.31913	-7.35124	4.99652	7	76.9077	242.45	0.000817114	8.41041
28007	6.21	Highway.node[7].appl	BrakingNoGui		-7.3122	-7.2623	4.99665	7	77.7122	242.45	0.00168135	7.67882
28553	6.31	Highway.node[7].appl	BrakingNoGui		-7.30349	-7.29478	4.99685	7	78.4435	242.45	0.002118	6.94822
29099	6.41	Highway.node[7].appl	BrakingNoGui		-7.31254	-7.42229	4.99706	7	79.1018	242.45	0.00214751	6.21762
29645	6.51	Highway.node[7].appl	BrakingNoGui		-7.34972	-7.60998	4.99726	7	79.687	242.45	0.00184327	5.48462
30191	6.61	Highway.node[7].appl	BrakingNoGui		-7.41694	-7.82042	4.99742	7	80.1986	242.45	0.00131194	4.74622
30737	6.71	Highway.node[7].appl	BrakingNoGui		-7.50932	-8.01969	4.99752	7	80.6359	242.45	0.000672671	3.99965
31283	6.81	Highway.node[7].appl	BrakingNoGui		-7.61753	-8.1816	4.99756	7	80.9982	242.45	3.81486e-05	3.24288
31829	6.91	Highway.node[7].appl	BrakingNoGui		-7.73016	-8.28967	4.99753	7	81.2841	242.45	-0.000500176	2.47495
32383	7.01	Highway.node[7].appl	BrakingNoGui		-7.83601	-8.33802	4.99746	7	81.4928	242.45	-0.000881099	1.69603
32929	7.11	Highway.node[7].appl	BrakingNoGui		-7.9258	-8.33035	4.99736	7	81.623	242.45	-0.0010769	0.90734
33475	7.21	Highway.node[7].appl	BrakingNoGui		-7.99336	-8.27755	4.99725	7	81.674	242.45	-0.00109138	0.110854
34021	7.31	Highway.node[7].appl	BrakingNoGui		0.0	0.0	4.99724	7	81.6748	242.45	0.0	0.0
34567	7.41	Highway.node[7].appl	BrakingNoGui		0.0	0.0	4.99724	7	81.6748	242.45	0.0	0.0
35113	7.51	Highway.node[7].appl	BrakingNoGui		0.0	0.0	4.99724	7	81.6748	242.45	0.0	0.0
35659	7.61	Highway.node[7].appl	BrakingNoGui		0.0	0.0	4.99724	7	81.6748	242.45	0.0	0.0
