event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
119	1.11	Highway.node[6].appl	BrakingNoGui		0.0	0.0	5.0	6	18.6901	242.45	0.0	13.89
665	1.21	Highway.node[6].appl	BrakingNoGui		0.0	0.0	5.0	6	20.0791	242.45	-2.12135e-06	13.89
1211	1.31	Highway.node[6].appl	BrakingNoGui		-0.000281379	-0.00188939	5.0	6	21.4681	242.45	-9.08168e-06	13.89
1757	1.41	Highway.node[6].appl	BrakingNoGui		-0.000545445	-0.00158964	5.0	6	22.8571	242.45	-1.34923e-05	13.8899
2303	1.51	Highway.node[6].appl	BrakingNoGui		-0.000758594	-0.0018494	5.0	6	24.2461	242.45	-1.49771e-05	13.8899
2849	1.61	Highway.node[6].appl	BrakingNoGui		-0.000888347	-0.00115882	5.0	6	25.6351	242.45	-1.41434e-05	13.8898
3395	1.71	Highway.node[6].appl	BrakingNoGui		-0.000934126	-0.00115969	4.99999	6	27.024	242.45	-1.16434e-05	13.8897
3941	1.81	Highway.node[6].appl	BrakingNoGui		-0.00097192	-0.0011399	4.99999	6	28.413	242.45	-8.2456e-06	13.8896
4487	1.91	Highway.node[6].appl	BrakingNoGui		-0.000923842	-0.000328188	4.99999	6	29.802	242.45	-4.52248e-06	13.8895
5041	2.01	Highway.node[6].appl	BrakingNoGui		-0.000812662	-0.000329851	4.99999	6	31.1909	242.45	-9.13998e-07	13.8894
5587	2.11	Highway.node[6].appl	BrakingNoGui		-0.000735022	-0.000433914	4.99999	6	32.5799	242.45	2.33355e-06	13.8893
6133	2.21	Highway.node[6].appl	BrakingNoGui		-0.000624153	0.000168113	4.99999	6	33.9688	242.45	4.95687e-06	13.8893
6679	2.31	Highway.node[6].appl	BrakingNoGui		-0.000499116	-5.74264e-05	4.99999	6	35.3577	242.45	6.5189e-06	13.8892
7225	2.41	Highway.node[6].appl	BrakingNoGui		-0.000455984	-0.000413979	4.99999	6	36.7466	242.45	6.70856e-06	13.8892
7771	2.51	Highway.node[6].appl	BrakingNoGui		-0.000410083	-1.4859e-07	4.99999	6	38.1355	242.45	5.88069e-06	13.8891
8317	2.61	Highway.node[6].appl	BrakingNoGui		-0.000376072	-0.000409891	4.99999	6	39.5245	242.45	4.31865e-06	13.8891
