
starttime; duration; leaderSpeed; frameErrorRate; startBraking;caccC1;caccOmegaN;caccXi
2024-02-25 23:16:20;10:26:32;130;0;5;0.850487;1.77643Hz;1.79001
2024-02-26 11:57:47;3:05:08;130;0;5.01;0.850487;1.77643Hz;1.79001
2024-02-26 08:53:40;3:04:07;130;0;5.05;0.850487;1.77643Hz;1.79001
2024-02-26 09:42:52;10:35:08;130;0;5.09;0.850487;1.77643Hz;1.79001
