
starttime; duration; leaderSpeed; frameErrorRate; startBraking;caccC1;caccOmegaN;caccXi
2024-02-21 15:52:16; 2:21:21; 130; 0; 5;0.850487; 1.77643Hz; 1.79001
2024-02-21 15:52:55; 6:21:03; 130; 0.2; 5;0.850487; 1.77643Hz; 1.79001
2024-02-21 18:13:37; 1:58:02; 130; 0.4; 5;0.477599; 1.36365Hz; 2.28529
2024-02-21 20:11:39; 0:57:02; 130; 0.8; 5;0.0739661; 0.00356834Hz; 14.793
2024-02-21 21:40:41; 0:51:32; 130; 0.95; 5;0.105801; 1.74171Hz; 4.16614
2024-02-21 22:13:58; 1:45:15; 130; 0.99; 5;0.00192214; 1.97378Hz; 97.782
