event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
118	1.11	Highway.node[5].appl	BrakingNoGui		0.0	0.0	5.0	5	27.6901	242.45	0.0	13.89
664	1.21	Highway.node[5].appl	BrakingNoGui		-6.99042e-05	-0.000940858	5.0	5	29.0791	242.45	1.74898e-06	13.89
1210	1.31	Highway.node[5].appl	BrakingNoGui		-0.000314093	-0.00193217	5.0	5	30.4681	242.45	6.36179e-06	13.89
1756	1.41	Highway.node[5].appl	BrakingNoGui		-0.000568105	-0.00153031	5.0	5	31.8571	242.45	9.40337e-06	13.8899
2302	1.51	Highway.node[5].appl	BrakingNoGui		-0.000775094	-0.0019294	5.0	5	33.2461	242.45	9.02688e-06	13.8899
2848	1.61	Highway.node[5].appl	BrakingNoGui		-0.000911541	-0.00117276	5.0	5	34.6351	242.45	7.76395e-06	13.8898
3394	1.71	Highway.node[5].appl	BrakingNoGui		-0.000957085	-0.00117348	5.0	5	36.024	242.45	6.8418e-06	13.8897
3940	1.81	Highway.node[5].appl	BrakingNoGui		-0.000991902	-0.00114657	5.0	5	37.413	242.45	6.94293e-06	13.8896
4486	1.91	Highway.node[5].appl	BrakingNoGui		-0.000932162	-0.000211152	5.00001	5	38.802	242.45	7.54355e-06	13.8895
5040	2.01	Highway.node[5].appl	BrakingNoGui		-0.000802934	-0.000228685	5.00001	5	40.1909	242.45	7.88422e-06	13.8894
5586	2.11	Highway.node[5].appl	BrakingNoGui		-0.000699933	-0.000212609	5.00001	5	41.5798	242.45	8.12875e-06	13.8893
6132	2.21	Highway.node[5].appl	BrakingNoGui		-0.000558075	0.000363542	5.00001	5	42.9688	242.45	5.44033e-06	13.8893
6678	2.31	Highway.node[5].appl	BrakingNoGui		-0.000429631	-4.08292e-05	5.00001	5	44.3577	242.45	1.60062e-06	13.8892
7224	2.41	Highway.node[5].appl	BrakingNoGui		-0.000397482	-0.000423736	5.00001	5	45.7466	242.45	-9.63351e-07	13.8892
7770	2.51	Highway.node[5].appl	BrakingNoGui		-0.000359451	7.20298e-05	5.00001	5	47.1355	242.45	-3.01989e-06	13.8891
8316	2.61	Highway.node[5].appl	BrakingNoGui		-0.000340932	-0.000577889	5.00001	5	48.5244	242.45	-6.43032e-06	13.8891
8862	2.71	Highway.node[5].appl	BrakingNoGui		-0.000345634	-0.000136054	5.00001	5	49.9133	242.45	-8.71104e-06	13.8891
9408	2.81	Highway.node[5].appl	BrakingNoGui		-0.000284448	0.000115684	5.00001	5	51.3023	242.45	-9.5225e-06	13.889
9954	2.91	Highway.node[5].appl	BrakingNoGui		-0.000264614	-0.000431853	5.0	5	52.6912	242.45	-8.01006e-06	13.889
10508	3.01	Highway.node[5].appl	BrakingNoGui		-0.000266363	-0.000106909	5.0	5	54.0801	242.45	-4.99981e-06	13.889
