
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;caccC1;caccOmegaN;caccXi
2024-03-27 20:45:23;0:19:51;90;0.4;5.05;4.53127;0;0.022634;1.60048Hz;608.394
2024-03-27 21:05:14;0:18:17;90;0.6;5.05;3.65413;2.93;0.120371;1.19771Hz;738.591
2024-03-27 21:23:31;0:10:58;90;0.8;5.05;1.96196;2.99;0.0739661;0.00356834Hz;14.793
2024-03-27 21:34:29;0:10:44;90;0.9;5.05;1.77914;2.47;0.00373421;1.03296Hz;679.634
2024-03-28 17:57:03;0:22:25;90;0.95;5.05;1.6985;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 18:01:33;0:10:02;90;0.99;5.05;1.74231;2.52;0.5973;1.48478Hz;877.403
2024-03-27 21:52:41;1:32:09;90;0;5.01;1.17162;0;0.985963;1.7587Hz;866.071
2024-03-27 22:01:24;0:24:31;90;0.2;5.01;3.17701;0;0.299264;1.1371Hz;14.4539
2024-03-27 22:25:55;0:21:34;90;0.4;5.01;4.54552;0;0.00542343;1.29322Hz;658.885
2024-03-27 22:47:29;0:18:02;90;0.6;5.01;3.54706;0;0.07284;0.686326Hz;392.252
2024-03-27 23:05:31;0:10:35;90;0.8;5.01;1.88731;2.64;0.00192214;1.97378Hz;97.782
2024-03-28 18:11:35;0:10:07;90;0.9;5.01;1.42043;2.46;0.0331813;1.42849Hz;533.027
2024-03-29 14:30:45;0:23:10;90;0.95;5.01;1.4264;2.52;0.0163422;1.26948Hz;669.286
2024-03-27 23:24:50;0:21:37;90;0.99;5.01;1.45116;2.52;0.546631;1.82173Hz;9.5055
2024-03-27 23:26:45;0:27:54;110;0;5.05;0.317507;0;0.997064;1.80353Hz;853.914
2024-03-27 23:46:27;1:19:10;110;0.2;5.05;3.94377;0;0.677322;0.253062Hz;7.00188
2024-03-28 18:21:42;0:20:58;110;0.4;5.05;4.37642;0;0.0816724;0.716329Hz;340.766
2024-03-28 00:06:46;0:14:18;110;0.6;5.05;3.8127;0;0.513202;0.983035Hz;41.0223
2024-03-29 14:34:38;0:11:09;110;0.8;5.05;2.09725;2.99;0.0739661;0.00356834Hz;14.793
2024-03-28 00:31:40;0:10:04;110;0.9;5.05;1.7608;2.48;0.0458194;1.90993Hz;17.5721
2024-03-28 00:41:45;0:09:55;110;0.95;5.05;1.70758;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 00:51:40;0:09:46;110;0.99;5.05;1.75552;2.52;0.863008;1.89812Hz;9.68118
2024-03-28 01:01:26;0:27:31;110;0;5.01;1.25826;0;0.968256;1.53824Hz;868.359
2024-03-28 01:05:37;1:16:54;110;0.2;5.01;4.61178;0;0.299264;1.1371Hz;14.4539
2024-03-28 01:28:57;0:20:54;110;0.4;5.01;5.40199;0;0.837441;1.49359Hz;552.035
2024-03-28 01:49:51;0:18:55;110;0.6;5.01;3.50191;2.74;0.0340049;0.148769Hz;482.917
2024-03-28 18:42:40;0:10:32;110;0.8;5.01;1.91458;2.64;0.00192214;1.97378Hz;97.782
2024-03-28 02:19:13;0:10:18;110;0.9;5.01;1.71311;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 02:22:31;0:22:10;110;0.95;5.01;1.43045;2.52;0.129972;1.42186Hz;4.51484
2024-03-29 14:45:47;0:09:44;110;0.99;5.01;1.46225;2.52;0.32222;1.64148Hz;27.1069
2024-03-28 02:39:33;0:27:32;130;0;5.05;0.480633;0;0.993315;1.72936Hz;787.068
2024-03-28 18:59:09;0:24:19;130;0.2;5.05;5.69041;0;0.677322;0.253062Hz;7.00188
2024-03-28 19:06:47;0:44:46;130;0.4;5.05;6.25405;0;0.561068;0.45709Hz;653.254
2024-03-28 03:27:49;0:13:18;130;0.6;5.05;3.81138;0;0.513202;0.983035Hz;41.0223
2024-03-28 03:41:07;0:10:38;130;0.8;5.05;1.96188;2.99;0.0739661;0.00356834Hz;14.793
2024-03-28 03:51:45;0:10:06;130;0.9;5.05;1.78653;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 04:01:43;0:22:19;130;0.95;5.05;1.6961;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 19:23:28;0:09:47;130;0.99;5.05;1.73884;2.52;0.424556;0.510068Hz;760.124
2024-03-28 04:08:05;0:27:15;130;0;5.01;1.81283;0;0.874282;1.80706Hz;943.519
2024-03-29 19:12:06;1:20:21;130;0.2;5.01;5.90222;0;0.769932;0.353305Hz;789.291
2024-03-28 04:35:21;0:20:29;130;0.4;5.01;6.24763;0;0.725856;1.99692Hz;419.552
2024-03-28 04:55:50;0:19:22;130;0.6;5.01;3.48142;3.16;0.0573476;1.1444Hz;218.644
2024-03-28 05:15:12;0:10:46;130;0.8;5.01;1.8883;2.64;0.00192214;1.97378Hz;97.782
2024-03-28 05:25:58;0:10:03;130;0.9;5.01;1.7127;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 19:51:33;0:21:59;130;0.95;5.01;1.42527;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 05:40:48;0:21:26;130;0.99;5.01;1.44838;2.52;0.41573;0.447675Hz;749.303
2024-03-28 05:42:03;0:27:24;150;0;5.05;0.670599;0;0.912376;0.879831Hz;971.643
2024-03-28 06:02:14;1:14:22;150;0.2;5.05;6.41008;0;0.0267465;0.657344Hz;175.633
2024-03-28 06:09:27;0:21:37;150;0.4;5.05;4.83498;0;0.221174;0.184549Hz;130.853
2024-03-28 06:31:04;0:12:52;150;0.6;5.05;3.74063;0;0.518658;0.286868Hz;450.43
2024-03-28 06:43:56;0:10:53;150;0.8;5.05;1.98504;2.83;0.0998354;0.0119906Hz;235.848
2024-03-29 14:55:31;0:10:35;150;0.9;5.05;1.76106;2.48;0.0458194;1.90993Hz;17.5721
2024-03-28 07:02:40;0:10:13;150;0.95;5.05;1.70647;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 07:12:53;0:10:03;150;0.99;5.05;1.75219;2.52;0.863008;1.89812Hz;9.68118
2024-03-28 07:16:36;1:31:35;150;0;5.01;2.26292;0;0.92431;1.72396Hz;906
2024-03-28 07:22:56;0:23:58;150;0.2;5.01;7.0965;0;0.499438;1.24653Hz;520.088
2024-03-28 07:46:54;0:21:10;150;0.4;5.01;5.03486;0;0.00613458;0.361859Hz;625.785
2024-03-28 20:07:30;0:20:01;150;0.6;5.01;3.61582;2.9;0.0879707;0.169726Hz;513.542
2024-03-28 08:13:48;0:10:35;150;0.8;5.01;1.90533;2.64;0.00192214;1.97378Hz;97.782
2024-03-28 20:13:32;0:23:29;150;0.9;5.01;1.71306;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 20:27:31;0:10:21;150;0.95;5.01;1.42952;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 08:38:55;0:09:43;150;0.99;5.01;1.45946;2.52;0.387736;1.66811Hz;193.084
2024-03-28 08:48:11;1:27:29;170;0;5.05;0.97835;0;0.947426;1.8179Hz;590.484
2024-03-28 08:48:38;0:23:12;170;0.2;5.05;6.77435;0;0.0267465;0.657344Hz;175.633
2024-03-28 09:11:50;0:21:39;170;0.4;5.05;4.93216;0;0.193737;0.643779Hz;271.222
2024-03-28 20:37:01;0:30:00;170;0.6;5.05;3.62115;3.4;0.0739661;0.00356834Hz;14.793
2024-03-28 09:46:02;0:10:41;170;0.8;5.05;1.95681;2.99;0.0739661;0.00356834Hz;14.793
2024-03-28 09:56:43;0:10:10;170;0.9;5.05;1.78645;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 10:06:53;0:09:59;170;0.95;5.05;1.69646;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 10:15:40;0:21:36;170;0.99;5.05;1.73559;2.52;0.44213;1.07371Hz;385.46
2024-03-28 10:16:52;0:27:42;170;0;5.01;2.76226;0;0.879079;1.00513Hz;832.892
2024-03-28 10:37:16;1:09:09;170;0.2;5.01;8.01736;0;0.595599;1.39513Hz;842.207
2024-03-28 10:44:34;0:21:33;170;0.4;5.01;6.42507;0;0.212448;1.86921Hz;156.327
2024-03-28 20:37:53;0:19:34;170;0.6;5.01;3.26589;3.17;0.0527661;1.18694Hz;177.416
2024-03-29 19:14:02;0:10:48;170;0.8;5.01;1.88561;2.64;0.00192214;1.97378Hz;97.782
2024-03-29 15:30:20;0:10:20;170;0.9;5.01;1.71264;2.47;0.00192214;1.97378Hz;97.782
2024-03-28 21:07:01;0:21:58;170;0.95;5.01;1.42575;2.52;0.129972;1.42186Hz;4.51484
2024-03-28 11:31:58;0:09:43;170;0.99;5.01;1.44564;2.52;0.724327;0.40954Hz;874.364
2024-04-08 03:31:55;0:26:28;30;0;5;0.0753395;0;0.925786;1.66567Hz;849.908
2024-04-08 03:33:46;1:39:54;30;0.2;5;0.445227;0;0.299264;1.1371Hz;14.4539
2024-04-08 20:29:05;0:22:31;30;0.4;5;1.15377;0;0.324273;1.21801Hz;6.88014
2024-04-08 04:15:28;0:20:02;30;0.6;5;8.18687;0;0.437073;0.285898Hz;846.443
2024-04-08 04:35:30;0:11:55;30;0.8;5;1.88286;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 04:47:26;0:10:14;30;0.9;5;1.72521;2.48;0.00192214;1.97378Hz;97.782
2024-04-08 17:45:15;0:29:00;30;0.95;5;1.46633;2.52;0.0458194;1.90993Hz;17.5721
2024-04-08 18:05:04;0:09:34;30;0.99;5;1.48501;2.52;0.0416729;0.408904Hz;857.085
2024-04-08 05:10:14;0:26:40;50;0;5;0.314297;0;0.966963;1.89229Hz;410.286
2024-04-08 05:13:40;1:39:38;50;0.2;5;1.10719;0;0.659609;1.59322Hz;852.923
2024-04-08 05:36:54;0:22:01;50;0.4;5;3.18679;0;0.324273;1.21801Hz;6.88014
2024-04-08 05:58:55;0:17:30;50;0.6;5;3.18672;0;0.433277;0.00243041Hz;736.852
2024-04-08 06:16:25;0:10:27;50;0.8;5;1.7517;2.64;0.00192214;1.97378Hz;97.782
2024-04-08 20:45:14;0:29:25;50;0.9;5;1.58597;2.47;0.00192214;1.97378Hz;97.782
2024-04-08 18:14:38;0:09:58;50;0.95;5;1.47395;2.52;0.129972;1.42186Hz;4.51484
2024-04-08 06:36:39;0:10:05;50;0.99;5;1.50249;2.52;0.863008;1.89812Hz;9.68118
2024-04-08 06:46:44;0:26:38;70;0;5;0.707461;0;0.874282;1.80706Hz;943.519
2024-04-08 18:24:37;0:24:45;70;0.2;5;2.32927;0;0.299264;1.1371Hz;14.4539
2024-04-08 18:43:38;1:29:12;70;0.4;5;4.96776;0;0.862286;1.13363Hz;982.805
2024-04-08 07:34:42;0:17:32;70;0.6;5;3.28528;3.17;0.0527661;1.18694Hz;177.416
