
starttime;duration;leaderSpeed;frameErrorRate;startBraking;value;crashed;accLambda
2024-04-10 05:29:20;0:34:15;30;0;5;13.6108;0;
2024-04-11 04:11:06;0:34:35;30;0.2;5;13.6108;0;
2024-04-10 05:41:16;0:10:53;30;0.4;5;13.6108;0;
2024-04-10 05:52:09;0:10:43;30;0.6;5;13.6108;0;
2024-04-11 04:11:09;0:10:06;30;0.8;5;13.6108;0;
2024-04-10 06:03:35;0:24:30;30;0.9;5;13.6108;0;
2024-04-10 06:07:52;0:09:33;30;0.95;5;13.6108;0;
2024-04-11 04:21:15;0:09:13;30;0.99;5;13.6108;0;
2024-04-11 13:02:01;0:11:48;30;0;5.05;13.2078;0;
2024-04-10 06:28:05;0:32:10;30;0.2;5.05;13.2078;0;
2024-04-11 13:13:49;0:11:04;30;0.4;5.05;13.2078;0;
2024-04-10 06:41:49;0:10:35;30;0.6;5.05;13.2078;0;
2024-04-11 04:45:41;0:28:19;30;0.8;5.05;13.2078;0;
2024-04-10 07:00:15;0:23:55;30;0.9;5.05;13.2078;0;
2024-04-12 19:40:55;0:09:45;30;0.95;5.05;13.2078;0;
2024-04-11 04:55:22;0:09:13;30;0.99;5.05;13.2078;0;
2024-04-10 07:14:09;0:12:07;30;0;5.01;13.5952;0;
2024-04-11 05:04:35;0:11:22;30;0.2;5.01;13.5952;0;
2024-04-10 07:26:16;0:10:46;30;0.4;5.01;13.5952;0;
2024-04-10 07:37:02;0:10:14;30;0.6;5.01;13.5952;0;
2024-04-10 07:47:16;0:09:47;30;0.8;5.01;13.5952;0;
2024-04-10 07:56:19;0:23:42;30;0.9;5.01;13.5952;0;
2024-04-11 05:14:00;0:26:17;30;0.95;5.01;13.5952;0;
2024-04-11 05:15:57;0:09:16;30;0.99;5.01;13.5952;0;
2024-04-10 08:11:34;0:12:09;50;0;5;1.73129;0;
2024-04-11 05:25:14;0:11:52;50;0.2;5;1.73129;0;
2024-04-11 05:37:06;0:11:06;50;0.4;5;1.73129;0;
2024-04-10 08:33:01;0:10:27;50;0.6;5;1.73129;0;
2024-04-10 08:43:28;0:10:11;50;0.8;5;1.73129;0;
2024-04-10 08:52:35;0:24:46;50;0.9;5;1.73129;0;
2024-04-11 05:40:17;0:25:12;50;0.95;5;1.73129;0;
2024-04-11 05:48:13;0:09:23;50;0.99;5;1.73129;0;
2024-04-11 05:57:36;0:12:03;50;0;5.05;1.73129;0;
2024-04-10 09:15:52;0:11:39;50;0.2;5.05;1.73129;0;
2024-04-10 09:17:21;0:30:19;50;0.4;5.05;1.73129;0;
2024-04-10 09:27:31;0:10:26;50;0.6;5.05;1.73129;0;
2024-04-11 06:05:29;0:26:06;50;0.8;5.05;1.73129;0;
2024-04-10 09:44:29;0:09:39;50;0.9;5.05;1.73129;0;
2024-04-10 09:47:40;0:23:58;50;0.95;5.05;1.73129;0;
2024-04-10 09:54:08;0:09:17;50;0.99;5.05;1.73129;0;
2024-04-11 13:27:24;0:12:08;50;0;5.01;1.73129;0;
2024-04-10 10:10:31;0:11:58;50;0.2;5.01;1.73129;0;
2024-04-10 10:11:38;0:30:40;50;0.4;5.01;1.73129;0;
2024-04-10 10:22:29;0:10:37;50;0.6;5.01;1.73129;0;
2024-04-10 10:33:06;0:09:55;50;0.8;5.01;1.73129;0;
2024-04-10 10:42:18;0:24:33;50;0.9;5.01;1.73129;0;
2024-04-10 10:43:01;0:09:29;50;0.95;5.01;1.73129;0;
2024-04-10 10:52:30;0:09:15;50;0.99;5.01;1.73129;0;
2024-04-11 13:39:32;0:12:21;70;0;5;0.556834;0;
2024-04-10 11:06:51;0:32:58;70;0.2;5;0.556834;0;
2024-04-10 11:14:29;0:11:05;70;0.4;5;0.556834;0;
2024-04-10 11:25:34;0:10:46;70;0.6;5;0.556834;0;
2024-04-10 11:36:20;0:10:06;70;0.8;5;0.556834;0;
2024-04-10 11:39:49;0:25:31;70;0.9;5;0.556834;0;
2024-04-10 11:46:26;0:09:52;70;0.95;5;0.556834;0;
2024-04-10 11:56:18;0:09:38;70;0.99;5;0.556834;0;
2024-04-10 12:05:20;0:43:22;70;0;5.05;0.556834;0;
2024-04-11 13:51:53;0:12:05;70;0.2;5.05;0.556834;0;
2024-04-10 12:16:34;0:11:05;70;0.4;5.05;0.556834;0;
2024-04-10 12:27:39;0:10:47;70;0.6;5.05;0.556834;0;
2024-04-10 12:38:26;0:10:16;70;0.8;5.05;0.556834;0;
2024-04-11 06:31:35;0:25:48;70;0.9;5.05;0.556834;0;
