Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
43; 32; 172;0.84232; 0.0142513; 115.345
44; 33; 172;0.84232; 0.0142513; 115.345
44; 33; 176;0.84232; 0.0142513; 115.345
44; 33; 176;0.84232; 0.0142513; 115.345
45; 34; 176;0.84232; 0.0142513; 115.345
45; 34; 180;0.84232; 0.0142513; 115.345
45; 34; 180;0.84232; 0.0142513; 115.345
46; 35; 180;0.84232; 0.0142513; 115.345
46; 35; 184;0.84232; 0.0142513; 115.345
46; 35; 184;0.84232; 0.0142513; 115.345
47; 36; 184;0.84232; 0.0142513; 115.345
47; 36; 188;0.84232; 0.0142513; 115.345
47; 36; 188;0.84232; 0.0142513; 115.345
48; 37; 188;0.84232; 0.0142513; 115.345
48; 37; 192;0.84232; 0.0142513; 115.345
48; 37; 192;0.84232; 0.0142513; 115.345
49; 38; 192;0.84232; 0.0142513; 115.345
49; 38; 196;0.84232; 0.0142513; 115.345
49; 38; 196;0.84232; 0.0142513; 115.345
50; 39; 196;0.84232; 0.0142513; 115.345
50; 39; 200;0.84232; 0.0142513; 115.345
50; 39; 200;0.84232; 0.0142513; 115.345
51; 40; 200;0.84232; 0.0142513; 115.345
51; 40; 204;0.84232; 0.0142513; 115.345
51; 40; 204;0.84232; 0.0142513; 115.345
52; 41; 204;0.84232; 0.0142513; 115.345
52; 41; 208;0.84232; 0.0142513; 115.345
52; 41; 208;0.84232; 0.0142513; 115.345
53; 42; 208;0.84232; 0.0142513; 115.345
53; 42; 212;0.84232; 0.0142513; 115.345
53; 42; 212;0.84232; 0.0142513; 115.345
54; 43; 212;0.84232; 0.0142513; 115.345
54; 43; 216;0.84232; 0.0142513; 115.345
54; 43; 216;0.84232; 0.0142513; 115.345
55; 44; 216;0.84232; 0.0142513; 115.345
55; 44; 220;0.84232; 0.0142513; 115.345
55; 44; 220;0.84232; 0.0142513; 115.345
56; 45; 220;0.84232; 0.0142513; 115.345
56; 45; 224;0.84232; 0.0142513; 115.345
56; 45; 224;0.84232; 0.0142513; 115.345
57; 46; 224;0.84232; 0.0142513; 115.345
57; 46; 228;0.84232; 0.0142513; 115.345
57; 46; 228;0.84232; 0.0142513; 115.345
58; 47; 228;0.84232; 0.0142513; 115.345
58; 47; 232;0.84232; 0.0142513; 115.345
58; 47; 232;0.84232; 0.0142513; 115.345
59; 48; 232;0.84232; 0.0142513; 115.345
59; 48; 236;0.84232; 0.0142513; 115.345
59; 48; 236;0.84232; 0.0142513; 115.345
60; 49; 236;0.84232; 0.0142513; 115.345
60; 49; 240;0.84232; 0.0142513; 115.345
60; 49; 240;0.84232; 0.0142513; 115.345
61; 50; 240;0.84232; 0.0142513; 115.345
61; 50; 244;0.84232; 0.0142513; 115.345
61; 50; 244;0.84232; 0.0142513; 115.345
62; 51; 244;0.84232; 0.0142513; 115.345
62; 51; 248;0.84232; 0.0142513; 115.345
62; 51; 248;0.84232; 0.0142513; 115.345
63; 52; 248;0.84232; 0.0142513; 115.345
63; 52; 252;0.84232; 0.0142513; 115.345
63; 52; 252;0.84232; 0.0142513; 115.345
64; 53; 252;0.84232; 0.0142513; 115.345
64; 53; 256;0.84232; 0.0142513; 115.345
64; 53; 256;0.84232; 0.0142513; 115.345
65; 54; 256;0.84232; 0.0142513; 115.345
65; 54; 260;0.84232; 0.0142513; 115.345
65; 54; 260;0.84232; 0.0142513; 115.345
66; 55; 260;0.84232; 0.0142513; 115.345
66; 55; 264;0.84232; 0.0142513; 115.345
66; 55; 264;0.84232; 0.0142513; 115.345
67; 56; 264;0.84232; 0.0142513; 115.345
67; 56; 268;0.84232; 0.0142513; 115.345
67; 56; 268;0.84232; 0.0142513; 115.345
68; 57; 268;0.84232; 0.0142513; 115.345
68; 57; 272;0.84232; 0.0142513; 115.345
68; 57; 272;0.84232; 0.0142513; 115.345
69; 58; 272;0.84232; 0.0142513; 115.345
69; 58; 276;0.84232; 0.0142513; 115.345
69; 58; 276;0.84232; 0.0142513; 115.345
70; 59; 276;0.84232; 0.0142513; 115.345
70; 59; 280;0.84232; 0.0142513; 115.345
70; 59; 280;0.84232; 0.0142513; 115.345
71; 60; 280;0.84232; 0.0142513; 115.345
71; 60; 284;0.84232; 0.0142513; 115.345
71; 60; 284;0.84232; 0.0142513; 115.345
72; 61; 284;0.84232; 0.0142513; 115.345
72; 61; 288;0.84232; 0.0142513; 115.345
72; 61; 288;0.84232; 0.0142513; 115.345
73; 62; 288;0.84232; 0.0142513; 115.345
73; 62; 292;0.84232; 0.0142513; 115.345
73; 62; 292;0.84232; 0.0142513; 115.345
74; 63; 292;0.84232; 0.0142513; 115.345
74; 63; 296;0.84232; 0.0142513; 115.345
74; 63; 296;0.84232; 0.0142513; 115.345
75; 64; 296;0.84232; 0.0142513; 115.345
75; 64; 300;0.84232; 0.0142513; 115.345
75; 64; 300;0.84232; 0.0142513; 115.345
76; 65; 300;0.84232; 0.0142513; 115.345
76; 65; 304;0.84232; 0.0142513; 115.345
76; 65; 304;0.84232; 0.0142513; 115.345
77; 66; 304;0.84232; 0.0142513; 115.345
77; 66; 308;0.84232; 0.0142513; 115.345
77; 66; 308;0.84232; 0.0142513; 115.345
78; 67; 308;0.84232; 0.0142513; 115.345
78; 67; 312;0.84232; 0.0142513; 115.345
78; 67; 312;0.84232; 0.0142513; 115.345
79; 68; 312;0.84232; 0.0142513; 115.345
79; 68; 316;0.84232; 0.0142513; 115.345
79; 68; 316;0.84232; 0.0142513; 115.345
80; 69; 316;0.84232; 0.0142513; 115.345
80; 69; 320;0.84232; 0.0142513; 115.345
80; 69; 320;0.84232; 0.0142513; 115.345
81; 70; 320;0.84232; 0.0142513; 115.345
81; 70; 324;0.84232; 0.0142513; 115.345
81; 70; 324;0.84232; 0.0142513; 115.345
82; 71; 324;0.84232; 0.0142513; 115.345
82; 71; 328;0.84232; 0.0142513; 115.345
82; 71; 328;0.84232; 0.0142513; 115.345
83; 72; 328;0.84232; 0.0142513; 115.345
83; 72; 332;0.84232; 0.0142513; 115.345
83; 72; 332;0.84232; 0.0142513; 115.345
84; 73; 332;0.84232; 0.0142513; 115.345
84; 73; 336;0.84232; 0.0142513; 115.345
84; 73; 336;0.84232; 0.0142513; 115.345
85; 74; 336;0.84232; 0.0142513; 115.345
85; 74; 340;0.84232; 0.0142513; 115.345
85; 74; 340;0.84232; 0.0142513; 115.345
86; 75; 340;0.84232; 0.0142513; 115.345
86; 75; 344;0.84232; 0.0142513; 115.345
86; 75; 344;0.84232; 0.0142513; 115.345
87; 76; 344;0.84232; 0.0142513; 115.345
87; 76; 348;0.84232; 0.0142513; 115.345
87; 76; 348;0.84232; 0.0142513; 115.345
88; 77; 348;0.84232; 0.0142513; 115.345
88; 77; 352;0.84232; 0.0142513; 115.345
88; 77; 352;0.84232; 0.0142513; 115.345
89; 78; 352;0.84232; 0.0142513; 115.345
89; 78; 356;0.84232; 0.0142513; 115.345
89; 78; 356;0.84232; 0.0142513; 115.345
90; 79; 356;0.84232; 0.0142513; 115.345
90; 79; 360;0.84232; 0.0142513; 115.345
90; 79; 360;0.84232; 0.0142513; 115.345
91; 80; 360;0.84232; 0.0142513; 115.345
91; 80; 364;0.84232; 0.0142513; 115.345
91; 80; 364;0.84232; 0.0142513; 115.345
92; 81; 364;0.84232; 0.0142513; 115.345
92; 81; 368;0.84232; 0.0142513; 115.345
92; 81; 368;0.84232; 0.0142513; 115.345
93; 82; 368;0.84232; 0.0142513; 115.345
93; 82; 372;0.84232; 0.0142513; 115.345
93; 82; 372;0.84232; 0.0142513; 115.345
94; 83; 372;0.84232; 0.0142513; 115.345
94; 83; 376;0.84232; 0.0142513; 115.345
94; 83; 376;0.84232; 0.0142513; 115.345
95; 84; 376;0.84232; 0.0142513; 115.345
95; 84; 380;0.84232; 0.0142513; 115.345
95; 84; 380;0.84232; 0.0142513; 115.345
96; 85; 380;0.84232; 0.0142513; 115.345
96; 85; 384;0.84232; 0.0142513; 115.345
96; 85; 384;0.84232; 0.0142513; 115.345
97; 86; 384;0.84232; 0.0142513; 115.345
97; 86; 388;0.84232; 0.0142513; 115.345
97; 86; 388;0.84232; 0.0142513; 115.345
98; 87; 388;0.84232; 0.0142513; 115.345
98; 87; 392;0.84232; 0.0142513; 115.345
98; 87; 392;0.84232; 0.0142513; 115.345
99; 88; 392;0.84232; 0.0142513; 115.345
99; 88; 396;0.84232; 0.0142513; 115.345
99; 88; 396;0.84232; 0.0142513; 115.345
100; 89; 396;0.84232; 0.0142513; 115.345
100; 89; 400;0.84232; 0.0142513; 115.345
100; 89; 400;0.84232; 0.0142513; 115.345
101; 90; 400;0.84232; 0.0142513; 115.345
101; 90; 404;0.84232; 0.0142513; 115.345
101; 90; 404;0.84232; 0.0142513; 115.345
102; 91; 404;0.84232; 0.0142513; 115.345
102; 91; 408;0.84232; 0.0142513; 115.345
102; 91; 408;0.84232; 0.0142513; 115.345
103; 92; 408;0.84232; 0.0142513; 115.345
103; 92; 412;0.84232; 0.0142513; 115.345
103; 92; 412;0.84232; 0.0142513; 115.345
104; 93; 412;0.84232; 0.0142513; 115.345
104; 93; 416;0.84232; 0.0142513; 115.345
104; 93; 416;0.84232; 0.0142513; 115.345
105; 94; 416;0.84232; 0.0142513; 115.345
105; 94; 420;0.84232; 0.0142513; 115.345
105; 94; 420;0.84232; 0.0142513; 115.345
106; 95; 420;0.84232; 0.0142513; 115.345
106; 95; 424;0.84232; 0.0142513; 115.345
106; 95; 424;0.84232; 0.0142513; 115.345
107; 96; 424;0.84232; 0.0142513; 115.345
107; 96; 428;0.84232; 0.0142513; 115.345
107; 96; 428;0.84232; 0.0142513; 115.345
108; 97; 428;0.84232; 0.0142513; 115.345
108; 97; 432;0.84232; 0.0142513; 115.345
108; 97; 432;0.84232; 0.0142513; 115.345
109; 98; 432;0.84232; 0.0142513; 115.345
109; 98; 436;0.84232; 0.0142513; 115.345
109; 98; 436;0.84232; 0.0142513; 115.345
110; 99; 436;0.84232; 0.0142513; 115.345
110; 99; 440;0.84232; 0.0142513; 115.345
110; 99; 440;0.84232; 0.0142513; 115.345
111; 100; 440;0.84232; 0.0142513; 115.345
111; 100; 444;0.84232; 0.0142513; 115.345
111; 100; 444;0.84232; 0.0142513; 115.345
112; 101; 444;0.84232; 0.0142513; 115.345
112; 101; 448;0.84232; 0.0142513; 115.345
112; 101; 448;0.84232; 0.0142513; 115.345
113; 102; 448;0.84232; 0.0142513; 115.345
113; 102; 452;0.84232; 0.0142513; 115.345
113; 102; 452;0.84232; 0.0142513; 115.345
114; 103; 452;0.84232; 0.0142513; 115.345
114; 103; 456;0.84232; 0.0142513; 115.345
114; 103; 456;0.84232; 0.0142513; 115.345
115; 104; 456;0.84232; 0.0142513; 115.345
115; 104; 460;0.84232; 0.0142513; 115.345
115; 104; 460;0.84232; 0.0142513; 115.345
116; 105; 460;0.84232; 0.0142513; 115.345
116; 105; 464;0.84232; 0.0142513; 115.345
116; 105; 464;0.84232; 0.0142513; 115.345
117; 106; 464;0.84232; 0.0142513; 115.345
117; 106; 468;0.84232; 0.0142513; 115.345
117; 106; 468;0.84232; 0.0142513; 115.345
118; 107; 468;0.84232; 0.0142513; 115.345
118; 107; 472;0.84232; 0.0142513; 115.345
118; 107; 472;0.84232; 0.0142513; 115.345
119; 108; 472;0.84232; 0.0142513; 115.345
119; 108; 476;0.84232; 0.0142513; 115.345
119; 108; 476;0.84232; 0.0142513; 115.345
120; 109; 476;0.84232; 0.0142513; 115.345
120; 109; 480;0.84232; 0.0142513; 115.345
120; 109; 480;0.84232; 0.0142513; 115.345
121; 110; 480;0.84232; 0.0142513; 115.345
121; 110; 484;0.84232; 0.0142513; 115.345
121; 110; 484;0.84232; 0.0142513; 115.345
122; 111; 484;0.84232; 0.0142513; 115.345
122; 111; 488;0.84232; 0.0142513; 115.345
122; 111; 488;0.84232; 0.0142513; 115.345
123; 112; 488;0.84232; 0.0142513; 115.345
123; 112; 492;0.84232; 0.0142513; 115.345
123; 112; 492;0.84232; 0.0142513; 115.345
124; 113; 492;0.84232; 0.0142513; 115.345
124; 113; 496;0.84232; 0.0142513; 115.345
124; 113; 496;0.84232; 0.0142513; 115.345
125; 114; 496;0.84232; 0.0142513; 115.345
125; 114; 500;0.84232; 0.0142513; 115.345
125; 114; 500;0.84232; 0.0142513; 115.345
126; 115; 500;0.84232; 0.0142513; 115.345
126; 115; 504;0.84232; 0.0142513; 115.345
126; 115; 504;0.84232; 0.0142513; 115.345
127; 116; 504;0.84232; 0.0142513; 115.345
127; 116; 508;0.84232; 0.0142513; 115.345
127; 116; 508;0.84232; 0.0142513; 115.345
128; 117; 508;0.84232; 0.0142513; 115.345
128; 117; 512;0.84232; 0.0142513; 115.345
128; 117; 512;0.84232; 0.0142513; 115.345
129; 118; 512;0.84232; 0.0142513; 115.345
129; 118; 516;0.84232; 0.0142513; 115.345
129; 118; 516;0.84232; 0.0142513; 115.345
130; 119; 516;0.84232; 0.0142513; 115.345
130; 119; 520;0.84232; 0.0142513; 115.345
130; 119; 520;0.84232; 0.0142513; 115.345
131; 120; 520;0.84232; 0.0142513; 115.345
131; 120; 524;0.84232; 0.0142513; 115.345
131; 120; 524;0.84232; 0.0142513; 115.345
132; 121; 524;0.84232; 0.0142513; 115.345
132; 121; 528;0.84232; 0.0142513; 115.345
132; 121; 528;0.84232; 0.0142513; 115.345
133; 122; 528;0.84232; 0.0142513; 115.345
133; 122; 532;0.84232; 0.0142513; 115.345
133; 122; 532;0.84232; 0.0142513; 115.345
134; 123; 532;0.84232; 0.0142513; 115.345
134; 123; 536;0.84232; 0.0142513; 115.345
134; 123; 536;0.84232; 0.0142513; 115.345
135; 124; 536;0.84232; 0.0142513; 115.345
135; 124; 540;0.84232; 0.0142513; 115.345
135; 124; 540;0.84232; 0.0142513; 115.345
136; 125; 540;0.84232; 0.0142513; 115.345
136; 125; 544;0.84232; 0.0142513; 115.345
136; 125; 544;0.84232; 0.0142513; 115.345
137; 126; 544;0.84232; 0.0142513; 115.345
137; 126; 548;0.84232; 0.0142513; 115.345
137; 126; 548;0.84232; 0.0142513; 115.345
138; 127; 548;0.84232; 0.0142513; 115.345
138; 127; 552;0.84232; 0.0142513; 115.345
138; 127; 552;0.84232; 0.0142513; 115.345
139; 128; 552;0.84232; 0.0142513; 115.345
139; 128; 556;0.84232; 0.0142513; 115.345
139; 128; 556;0.84232; 0.0142513; 115.345
140; 129; 556;0.84232; 0.0142513; 115.345
140; 129; 560;0.84232; 0.0142513; 115.345
140; 129; 560;0.84232; 0.0142513; 115.345
141; 130; 560;0.84232; 0.0142513; 115.345
141; 130; 564;0.84232; 0.0142513; 115.345
141; 130; 564;0.84232; 0.0142513; 115.345
142; 131; 564;0.84232; 0.0142513; 115.345
142; 131; 568;0.84232; 0.0142513; 115.345
142; 131; 568;0.84232; 0.0142513; 115.345
143; 132; 568;0.84232; 0.0142513; 115.345
143; 132; 572;0.84232; 0.0142513; 115.345
143; 132; 572;0.84232; 0.0142513; 115.345
144; 133; 572;0.84232; 0.0142513; 115.345
144; 133; 576;0.84232; 0.0142513; 115.345
144; 133; 576;0.84232; 0.0142513; 115.345
145; 134; 576;0.84232; 0.0142513; 115.345
145; 134; 580;0.84232; 0.0142513; 115.345
145; 134; 580;0.84232; 0.0142513; 115.345
146; 135; 580;0.84232; 0.0142513; 115.345
146; 135; 584;0.84232; 0.0142513; 115.345
