event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
116	1.11	Highway.node[3].appl	BrakingNoGui		0.0	0.0	5.0	3	45.6901	242.45	0.0	13.89
662	1.21	Highway.node[3].appl	BrakingNoGui		-0.000109059	-0.00127516	5.0	3	47.0791	242.45	-8.94573e-12	13.89
1208	1.31	Highway.node[3].appl	BrakingNoGui		-0.000591107	-0.0038738	5.0	3	48.4681	242.45	3.23246e-08	13.89
1754	1.41	Highway.node[3].appl	BrakingNoGui		-0.000985507	-0.00155639	5.0	3	49.8571	242.45	-3.42004e-06	13.8899
2300	1.51	Highway.node[3].appl	BrakingNoGui		-0.00106402	-0.00152407	5.0	3	51.2461	242.45	-1.1943e-05	13.8898
2846	1.61	Highway.node[3].appl	BrakingNoGui		-0.000809196	0.0017004	5.0	3	52.635	242.45	-1.74002e-05	13.8897
3392	1.71	Highway.node[3].appl	BrakingNoGui		-0.000387586	0.000774846	5.0	3	54.024	242.45	-1.49275e-05	13.8896
3938	1.81	Highway.node[3].appl	BrakingNoGui		-0.000407402	-0.00141123	4.99999	3	55.413	242.45	-2.76438e-06	13.8896
4484	1.91	Highway.node[3].appl	BrakingNoGui		-0.000480953	2.00883e-05	5.0	3	56.8019	242.45	7.46814e-06	13.8895
5038	2.01	Highway.node[3].appl	BrakingNoGui		-0.000573204	-0.00166481	5.0	3	58.1909	242.45	1.10044e-05	13.8895
5584	2.11	Highway.node[3].appl	BrakingNoGui		-0.000864972	-0.00250495	5.0	3	59.5798	242.45	8.36577e-06	13.8894
6130	2.21	Highway.node[3].appl	BrakingNoGui		-0.000908399	0.000350664	5.0	3	60.9688	242.45	2.95448e-06	13.8893
6676	2.31	Highway.node[3].appl	BrakingNoGui		-0.000666856	7.16275e-05	5.0	3	62.3577	242.45	-1.70618e-06	13.8892
7222	2.41	Highway.node[3].appl	BrakingNoGui		-0.000644895	-0.00106265	5.0	3	63.7466	242.45	-2.1739e-06	13.8892
7768	2.51	Highway.node[3].appl	BrakingNoGui		-0.000490868	0.00118296	5.0	3	65.1355	242.45	-1.12084e-06	13.8891
