event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
114	1.11	Highway.node[1].appl	BrakingNoGui		0.0	0.0	5.0	1	63.6901	242.45	-9.20219e-06	13.89
660	1.21	Highway.node[1].appl	BrakingNoGui		-0.000126951	-0.00148594	5.0	1	65.0791	242.45	-3.26067e-05	13.89
1206	1.31	Highway.node[1].appl	BrakingNoGui		-0.000651559	-0.00429098	4.99999	1	66.4681	242.45	-3.83497e-05	13.89
1752	1.41	Highway.node[1].appl	BrakingNoGui		-0.00101525	-0.00119922	4.99999	1	67.8571	242.45	1.68663e-06	13.8899
2298	1.51	Highway.node[1].appl	BrakingNoGui		-0.00103531	-0.0012546	4.99999	1	69.2461	242.45	4.25012e-05	13.8898
2844	1.61	Highway.node[1].appl	BrakingNoGui		-0.000714008	0.00226037	5.0	1	70.635	242.45	6.97194e-05	13.8897
3390	1.71	Highway.node[1].appl	BrakingNoGui		-0.000332099	0.000427311	5.00001	1	72.024	242.45	4.62056e-05	13.8896
3936	1.81	Highway.node[1].appl	BrakingNoGui		-0.000435175	-0.00197757	5.00001	1	73.413	242.45	9.81463e-06	13.8896
4482	1.91	Highway.node[1].appl	BrakingNoGui		-0.000530884	6.70415e-05	5.00001	1	74.8019	242.45	-6.06549e-06	13.8895
5036	2.01	Highway.node[1].appl	BrakingNoGui		-0.000588848	-0.00160186	5.00001	1	76.1909	242.45	-2.25245e-05	13.8895
5582	2.11	Highway.node[1].appl	BrakingNoGui		-0.000881717	-0.00259895	5.00001	1	77.5798	242.45	-1.6419e-05	13.8894
6128	2.21	Highway.node[1].appl	BrakingNoGui		-0.000845965	0.00100003	5.00001	1	78.9688	242.45	1.40387e-05	13.8893
6674	2.31	Highway.node[1].appl	BrakingNoGui		-0.000591616	3.32629e-05	5.00001	1	80.3577	242.45	2.13355e-05	13.8893
