event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
118	1.11	Highway.node[5].appl	BrakingNoGui		0.0	0.0	5.0	5	27.6901	242.45	0.0	13.89
664	1.21	Highway.node[5].appl	BrakingNoGui		-7.15946e-05	-0.000957664	5.0	5	29.0791	242.45	1.79537e-06	13.89
1210	1.31	Highway.node[5].appl	BrakingNoGui		-0.000297511	-0.0017133	5.0	5	30.4681	242.45	6.73025e-06	13.89
1756	1.41	Highway.node[5].appl	BrakingNoGui		-0.00052352	-0.00140372	5.0	5	31.8571	242.45	9.89897e-06	13.8899
2302	1.51	Highway.node[5].appl	BrakingNoGui		-0.000710519	-0.00174141	5.0	5	33.2461	242.45	9.76277e-06	13.8899
2848	1.61	Highway.node[5].appl	BrakingNoGui		-0.00084598	-0.00121544	5.0	5	34.6351	242.45	8.38944e-06	13.8898
3394	1.71	Highway.node[5].appl	BrakingNoGui		-0.000902072	-0.00108825	5.0	5	36.024	242.45	6.62515e-06	13.8897
3940	1.81	Highway.node[5].appl	BrakingNoGui		-0.000935328	-0.00110043	5.0	5	37.413	242.45	2.82634e-06	13.8896
4486	1.91	Highway.node[5].appl	BrakingNoGui		-0.000901051	-0.000417164	5.0	5	38.802	242.45	-2.81339e-06	13.8895
5040	2.01	Highway.node[5].appl	BrakingNoGui		-0.000814909	-0.000432439	5.0	5	40.1909	242.45	-9.6591e-06	13.8894
5586	2.11	Highway.node[5].appl	BrakingNoGui		-0.000754649	-0.000529648	5.0	5	41.5799	242.45	-1.6246e-05	13.8894
6132	2.21	Highway.node[5].appl	BrakingNoGui		-0.000664288	1.29019e-05	5.0	5	42.9688	242.45	-2.01932e-05	13.8893
6678	2.31	Highway.node[5].appl	BrakingNoGui		-0.000564047	-0.000224381	5.0	5	44.3577	242.45	-2.08036e-05	13.8892
7224	2.41	Highway.node[5].appl	BrakingNoGui		-0.000519296	-0.000379337	5.0	5	45.7466	242.45	-1.81181e-05	13.8892
7770	2.51	Highway.node[5].appl	BrakingNoGui		-0.000464064	-6.00024e-05	5.0	5	47.1355	242.45	-1.33545e-05	13.8891
8316	2.61	Highway.node[5].appl	BrakingNoGui		-0.000415707	-0.000306746	4.99999	5	48.5245	242.45	-7.16031e-06	13.8891
8862	2.71	Highway.node[5].appl	BrakingNoGui		-0.000361621	8.33652e-05	4.99999	5	49.9134	242.45	-9.83934e-07	13.889
