event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
116	1.11	Highway.node[3].appl	BrakingNoGui		0.0	0.0	5.0	3	45.6901	242.45	0.0	13.89
662	1.21	Highway.node[3].appl	BrakingNoGui		-8.77544e-05	-0.000952635	5.0	3	47.0791	242.45	-9.86233e-12	13.89
1208	1.31	Highway.node[3].appl	BrakingNoGui		-0.000315534	-0.0015853	5.0	3	48.4681	242.45	-7.88792e-09	13.89
1754	1.41	Highway.node[3].appl	BrakingNoGui		-0.000535965	-0.00142163	5.0	3	49.8571	242.45	-4.96455e-07	13.8899
2300	1.51	Highway.node[3].appl	BrakingNoGui		-0.000725382	-0.001681	5.0	3	51.2461	242.45	-1.02492e-06	13.8899
2846	1.61	Highway.node[3].appl	BrakingNoGui		-0.000840686	-0.0011292	5.0	3	52.6351	242.45	-2.5435e-06	13.8898
3392	1.71	Highway.node[3].appl	BrakingNoGui		-0.000890505	-0.00113648	5.0	3	54.024	242.45	-5.06858e-06	13.8897
3938	1.81	Highway.node[3].appl	BrakingNoGui		-0.000930754	-0.00111675	5.0	3	55.413	242.45	-6.03796e-06	13.8896
4484	1.91	Highway.node[3].appl	BrakingNoGui		-0.000910906	-0.000549721	5.0	3	56.802	242.45	-6.02626e-06	13.8895
5038	2.01	Highway.node[3].appl	BrakingNoGui		-0.000831624	-0.000477189	5.0	3	58.1909	242.45	-5.13327e-06	13.8894
5584	2.11	Highway.node[3].appl	BrakingNoGui		-0.000772278	-0.000530812	5.0	3	59.5799	242.45	-3.30756e-06	13.8894
6130	2.21	Highway.node[3].appl	BrakingNoGui		-0.000690685	-9.67766e-05	5.0	3	60.9688	242.45	-1.15976e-06	13.8893
6676	2.31	Highway.node[3].appl	BrakingNoGui		-0.000564973	-5.05592e-05	5.0	3	62.3577	242.45	7.65304e-07	13.8892
7222	2.41	Highway.node[3].appl	BrakingNoGui		-0.000500274	-0.000307598	5.0	3	63.7466	242.45	2.59385e-06	13.8892
7768	2.51	Highway.node[3].appl	BrakingNoGui		-0.000429724	5.13773e-05	5.0	3	65.1355	242.45	3.41769e-06	13.8891
8314	2.61	Highway.node[3].appl	BrakingNoGui		-0.000375409	-0.000265512	5.0	3	66.5244	242.45	3.48288e-06	13.8891
8860	2.71	Highway.node[3].appl	BrakingNoGui		-0.000329641	4.18009e-06	5.0	3	67.9134	242.45	2.88608e-06	13.889
9406	2.81	Highway.node[3].appl	BrakingNoGui		-0.000259866	0.0001565	5.0	3	69.3023	242.45	3.04609e-06	13.889
9952	2.91	Highway.node[3].appl	BrakingNoGui		-0.000204308	-0.000126181	5.0	3	70.6912	242.45	4.36579e-06	13.889
10506	3.01	Highway.node[3].appl	BrakingNoGui		-0.000183879	-1.71211e-05	5.0	3	72.0801	242.45	4.71107e-06	13.889
11052	3.11	Highway.node[3].appl	BrakingNoGui		-0.000134243	0.000159596	5.0	3	73.469	242.45	4.10758e-06	13.889
11598	3.21	Highway.node[3].appl	BrakingNoGui		-0.000116102	-0.000248309	5.0	3	74.8578	242.45	2.97632e-06	13.8889
12144	3.31	Highway.node[3].appl	BrakingNoGui		-0.000166507	-0.000357793	5.0	3	76.2467	242.45	1.75929e-06	13.8889
12690	3.41	Highway.node[3].appl	BrakingNoGui		-0.000189711	-0.000232938	5.0	3	77.6356	242.45	3.27718e-07	13.8889
13236	3.51	Highway.node[3].appl	BrakingNoGui		-0.000174985	-4.3121e-05	5.0	3	79.0245	242.45	-5.9852e-07	13.8889
13782	3.61	Highway.node[3].appl	BrakingNoGui		-0.000130079	0.000127971	5.0	3	80.4134	242.45	-1.00956e-06	13.8889
14328	3.71	Highway.node[3].appl	BrakingNoGui		-6.71888e-05	0.000255427	5.0	3	81.8023	242.45	-1.00966e-06	13.8889
14874	3.81	Highway.node[3].appl	BrakingNoGui		4.94141e-07	0.000324998	5.0	3	83.1912	242.45	-7.52174e-07	13.8889
15420	3.91	Highway.node[3].appl	BrakingNoGui		6.10061e-05	0.000333709	5.0	3	84.5801	242.45	-3.87639e-07	13.8889
15974	4.01	Highway.node[3].appl	BrakingNoGui		0.000105306	0.000288631	5.0	3	85.969	242.45	-3.16296e-08	13.8889
16520	4.11	Highway.node[3].appl	BrakingNoGui		0.000128263	0.000204282	5.0	3	87.3578	242.45	2.47283e-07	13.8889
17066	4.21	Highway.node[3].appl	BrakingNoGui		0.000128887	9.92649e-05	5.0	3	88.7467	242.45	4.23297e-07	13.8889
17612	4.31	Highway.node[3].appl	BrakingNoGui		0.00010988	-7.22891e-06	5.0	3	90.1356	242.45	4.99257e-07	13.8889
18158	4.41	Highway.node[3].appl	BrakingNoGui		7.66801e-05	-9.84916e-05	5.0	3	91.5245	242.45	4.89509e-07	13.8889
18704	4.51	Highway.node[3].appl	BrakingNoGui		3.62204e-05	-0.000162539	5.0	3	92.9134	242.45	4.05482e-07	13.8889
19250	4.61	Highway.node[3].appl	BrakingNoGui		-4.37049e-06	-0.000193295	5.0	3	94.3023	242.45	2.47561e-07	13.8889
19796	4.71	Highway.node[3].appl	BrakingNoGui		-3.8908e-05	-0.000190695	5.0	3	95.6912	242.45	4.35001e-09	13.8889
20342	4.81	Highway.node[3].appl	BrakingNoGui		-6.29841e-05	-0.000159847	5.0	3	97.0801	242.45	-3.41822e-07	13.8889
20888	4.91	Highway.node[3].appl	BrakingNoGui		-7.44068e-05	-0.00010951	5.0	3	98.469	242.45	-8.05859e-07	13.8889
21443	5.01	Highway.node[3].appl	BrakingNoGui		-7.32342e-05	-5.02326e-05	5.0	3	99.8579	242.45	-1.39062e-06	13.8889
21989	5.11	Highway.node[3].appl	BrakingNoGui		-0.648739	-6.92354	5.0	3	101.246	242.45	-2.31067e-06	13.8692
22535	5.21	Highway.node[3].appl	BrakingNoGui		-2.02556	-8.65769	5.00004	3	102.627	242.45	-7.17004e-06	13.7286
23081	5.31	Highway.node[3].appl	BrakingNoGui		-3.32341	-9.43673	4.99989	3	103.988	242.45	-0.00313698	13.4538
23627	5.41	Highway.node[3].appl	BrakingNoGui		-4.46286	-9.73209	4.9994	3	105.314	242.45	-0.00672458	13.0575
24173	5.51	Highway.node[3].appl	BrakingNoGui		-5.42139	-9.77226	4.99854	3	106.596	242.45	-0.0103917	12.5571
24719	5.61	Highway.node[3].appl	BrakingNoGui		-6.18882	-9.59301	4.99733	3	107.823	242.45	-0.0137422	11.9713
25265	5.71	Highway.node[3].appl	BrakingNoGui		-6.76579	-9.25056	4.99581	3	108.988	242.45	-0.0163961	11.3193
25811	5.81	Highway.node[3].appl	BrakingNoGui		-7.1645	-8.81133	4.99408	3	110.085	242.45	-0.0180303	10.6195
26357	5.91	Highway.node[3].appl	BrakingNoGui		-7.40729	-8.34315	4.99225	3	111.111	242.45	-0.0184133	9.8887
26911	6.01	Highway.node[3].appl	BrakingNoGui		-7.52423	-7.90744	4.99044	3	112.062	242.45	-0.0174354	9.14078
27457	6.11	Highway.node[3].appl	BrakingNoGui		-7.54955	-7.55092	4.98881	3	112.938	242.45	-0.0151192	8.38646
28003	6.21	Highway.node[3].appl	BrakingNoGui		-7.51793	-7.30377	4.98746	3	113.739	242.45	-0.011616	7.63301
28549	6.31	Highway.node[3].appl	BrakingNoGui		-7.4612	-7.17826	4.98651	3	114.465	242.45	-0.00718942	6.88431
29095	6.41	Highway.node[3].appl	BrakingNoGui		-7.40575	-7.17001	4.98604	3	115.116	242.45	-0.00218582	6.14137
29641	6.51	Highway.node[3].appl	BrakingNoGui		-7.37081	-7.26141	4.98608	3	115.694	242.45	0.00300476	5.40296
