event	time	node	configname	*.prio	acceleration	controllerAcceleration	distance	nodeId	posx	posy	relativeSpeed	speed
100176	19.41	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100177	19.41	Highway.node[1].appl	BrakingNoGui		0	4.83912e-05	5.05551	1	135.668	242.45	0	0
100178	19.41	Highway.node[2].appl	BrakingNoGui		0	1.65242e-05	5.00726	2	126.661	242.45	0	0
100179	19.41	Highway.node[3].appl	BrakingNoGui		0	5.19784e-06	5.00197	3	117.659	242.45	0	0
100180	19.41	Highway.node[4].appl	BrakingNoGui		0	3.38571e-06	5.00263	4	108.657	242.45	0	0
100181	19.41	Highway.node[5].appl	BrakingNoGui		0	9.90178e-06	5.01054	5	99.646	242.45	0	0
100182	19.41	Highway.node[6].appl	BrakingNoGui		0	0	4.99586	6	90.6502	242.45	0	0
100183	19.41	Highway.node[7].appl	BrakingNoGui		0	0	4.98534	7	81.6649	242.45	0	0
100722	19.51	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
100723	19.51	Highway.node[1].appl	BrakingNoGui		0	4.83912e-05	5.05551	1	135.668	242.45	0	0
100724	19.51	Highway.node[2].appl	BrakingNoGui		0	1.65242e-05	5.00726	2	126.661	242.45	0	0
100725	19.51	Highway.node[3].appl	BrakingNoGui		0	5.19784e-06	5.00197	3	117.659	242.45	0	0
100726	19.51	Highway.node[4].appl	BrakingNoGui		0	3.38571e-06	5.00263	4	108.657	242.45	0	0
100727	19.51	Highway.node[5].appl	BrakingNoGui		0	9.90178e-06	5.01054	5	99.646	242.45	0	0
100728	19.51	Highway.node[6].appl	BrakingNoGui		0	0	4.99586	6	90.6502	242.45	0	0
100729	19.51	Highway.node[7].appl	BrakingNoGui		0	0	4.98534	7	81.6649	242.45	0	0
101268	19.61	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
101269	19.61	Highway.node[1].appl	BrakingNoGui		0	4.83912e-05	5.05551	1	135.668	242.45	0	0
101270	19.61	Highway.node[2].appl	BrakingNoGui		0	1.65242e-05	5.00726	2	126.661	242.45	0	0
101271	19.61	Highway.node[3].appl	BrakingNoGui		0	5.19784e-06	5.00197	3	117.659	242.45	0	0
101272	19.61	Highway.node[4].appl	BrakingNoGui		0	3.38571e-06	5.00263	4	108.657	242.45	0	0
101273	19.61	Highway.node[5].appl	BrakingNoGui		0	9.90178e-06	5.01054	5	99.646	242.45	0	0
101274	19.61	Highway.node[6].appl	BrakingNoGui		0	0	4.99586	6	90.6502	242.45	0	0
101275	19.61	Highway.node[7].appl	BrakingNoGui		0	0	4.98534	7	81.6649	242.45	0	0
101814	19.71	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
101815	19.71	Highway.node[1].appl	BrakingNoGui		0	4.83912e-05	5.05551	1	135.668	242.45	0	0
101816	19.71	Highway.node[2].appl	BrakingNoGui		0	1.65242e-05	5.00726	2	126.661	242.45	0	0
101817	19.71	Highway.node[3].appl	BrakingNoGui		0	5.19784e-06	5.00197	3	117.659	242.45	0	0
101818	19.71	Highway.node[4].appl	BrakingNoGui		0	3.38571e-06	5.00263	4	108.657	242.45	0	0
101819	19.71	Highway.node[5].appl	BrakingNoGui		0	9.90178e-06	5.01054	5	99.646	242.45	0	0
101820	19.71	Highway.node[6].appl	BrakingNoGui		0	0	4.99586	6	90.6502	242.45	0	0
101821	19.71	Highway.node[7].appl	BrakingNoGui		0	0	4.98534	7	81.6649	242.45	0	0
102360	19.81	Highway.node[0].appl	BrakingNoGui		0	0	-1	0	144.724	242.45	0	0
102361	19.81	Highway.node[1].appl	BrakingNoGui		0	4.83912e-05	5.05551	1	135.668	242.45	0	0
102362	19.81	Highway.node[2].appl	BrakingNoGui		0	1.65242e-05	5.00726	2	126.661	242.45	0	0
102363	19.81	Highway.node[3].appl	BrakingNoGui		0	5.19784e-06	5.00197	3	117.659	242.45	0	0
102364	19.81	Highway.node[4].appl	BrakingNoGui		0	3.38571e-06	5.00263	4	108.657	242.45	0	0
