
starttime;duration;leaderSpeed;frameErrorRate;startBraking;caccC1;caccOmegaN;caccXi
2024-02-2014:31:02;1:19:39;30;0;5;0.763566;1.0669;9.39979
2024-02-2017:49:13;0:27:54;50;0;5;0.789275;0.0295258;156.755
2024-02-2015:00:41;0:27:34;70;0;5;0.84232;0.0142513;115.345
2024-02-2015:28:15;0:27:53;90;0;5;0.84232;0.0142513;115.345
2024-02-2015:50:41;1:21:04;110;0;5;0.84232;0.0142513;115.345
2024-02-2015:56:08;0:27:39;130;0;5;0.84232;0.0142513;115.345
2024-02-2016:23:48;0:27:44;150;0;5;0.36454;0.622204;1.72285
2024-02-2016:51:32;0:27:40;170;0;5;0.36454;0.622204;1.72285
