
starttime;duration;leaderSpeed;frameErrorRate;startBraking;caccC1;caccOmegaN;caccXi
2024-02-1922:03:10;1:27:01;30;0;5;0.763566;1.0669;9.39979
2024-02-2007:44:36;1:24:14;50;0;5;0.863008;1.89812;9.68118
2024-02-1923:30:11;1:20:43;70;0;5;0.84232;0.0142513;115.345
2024-02-2000:50:54;1:21:39;90;0;5;0.84232;0.0142513;115.345
2024-02-2002:12:33;1:20:45;110;0;5;0.84232;0.0142513;115.345
2024-02-2003:33:18;1:22:06;130;0;5;0.84232;0.0142513;115.345
2024-02-2004:55:24;1:23:44;150;0;5;0.84232;0.0142513;115.345
2024-02-2006:19:09;1:25:26;170;0;5;0.84232;0.0142513;115.345
