
starttime;duration;leaderSpeed;frameErrorRate;startBraking;caccC1;caccOmegaN;caccXi
2024-02-1506:45:45;16:40:10;30;0;5;0.964576;1.52426;7.00977
2024-02-1507:18:54;16:41:08;50;0;5;0.965485;0.0377144;105.745
2024-02-1523:25:55;16:40:13;70;0;5;0.850487;1.77643;1.79001
2024-02-1600:00:02;16:40:50;90;0;5;0.850487;1.77643;1.79001
2024-02-1616:06:08;16:40:09;110;0;5;0.850487;1.77643;1.79001
2024-02-1616:40:52;16:40:18;130;0;5;0.850487;1.77643;1.79001
2024-02-1721:16:56;16:40:34;150;0;5;0.850487;1.77643;1.79001
2024-02-1721:17:06;16:40:27;170;0;5;0.850487;1.77643;1.79001
